date,symbol,direction,signal_time,entry_price,quantity,position_rs,stop_loss,target,rr,strategies_fired,agreeing_count,composite_score,driver_strategy,reason,exit_time,exit_price,exit_reason,result,pnl_rs,pnl_pct,predicted_win_pct,conviction_tier
2021-01-01,ADANIENT,LONG,09:50,468.6,1067,499996.2,462.4,481.0000000000001,2.0,"ADX-FILTER,DAILY-BIAS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",13,13.0,ORB-15,ORB-15: breakout above 468.60 (range=6.20),15:15,476.6,TIME_EXIT,WIN,7800.34,1.56,60.0,MEDIUM
2021-01-01,SBILIFE,SHORT,11:10,898.65,556,499649.4,907.05,881.85,2.0,"BEAR-ENGULF,CPR,FIRST-CANDLE,INTRADAY-STRUCT,MACD,ORB-15,ORB-30,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",13,13.0,ORB-15,ORB-15: breakdown below 898.65,15:15,895.55,TIME_EXIT,WIN,996.15,0.2,60.0,MEDIUM
2021-01-04,SBICARD,LONG,09:15,854.5744897959183,585,499926.08,854.5035714285714,857.6948979591837,44.0,"ADX-FILTER,ASC-TRI,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,INTRADAY-STRUCT,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,VPOC",15,15.0,VPOC,VPOC: breakout above VAH=854.57,09:20,857.6948979591837,TARGET_HIT,EXACT_WIN,1095.18,0.22,60.0,MEDIUM
2021-01-04,BHARATFORG,SHORT,09:15,539.0,927,499653.0,541.6949999999999,526.5,4.64,"BEAR-ENGULF,BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-TOP,FIRST-CANDLE,MACD,ORB-30,REL-STR,RSI-EXT,SUPERTREND,VPOC,VWAP-REV",13,13.0,VPOC,VPOC: rejection at VPOC=538.23,09:20,541.6949999999999,STOP_HIT,LOSS,-3228.13,-0.65,60.0,MEDIUM
2021-01-05,PAGEIND,LONG,10:45,28490.0,17,484330.0,28126.55,29216.9,2.0,"BOLLINGER,BULL-FLAG,CAMARILLA,DAILY-BIAS,DBL-BTM,EMA-CROSS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",16,16.0,ORB-15,ORB-15: breakout above 28490.00 (range=363.45),15:15,28573.75,TIME_EXIT,WIN,715.08,0.15,60.0,MEDIUM
2021-01-05,ARE&M,SHORT,09:15,969.0,515,499035.0,978.9704999999999,923.9,4.52,"ADX-FILTER,BEAR-ENGULF,BOLLINGER,CAMARILLA,CPR,FAILED-BO,FIRST-CANDLE,MACD,REL-STR,SUPERTREND,VWAP-STDDEV",11,11.0,FAILED-BO,"Failed BO: bull trap above 971.95, reversed on vol 5.8×",10:40,978.9704999999999,STOP_HIT,LOSS,-5865.34,-1.18,60.0,MEDIUM
2021-01-06,IDFCFIRSTB,LONG,09:15,39.82448979591837,12555,499996.47,39.38520408163265,41.28877551020408,3.33,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,MACD,PDH-PDL,REL-STR,RSI-EXT,SR-BREAK,STOCHASTIC,VPOC,VWAP-REV,VWAP-STDDEV",13,13.0,VPOC,VPOC: breakout above VAH=39.82,13:15,39.38520408163265,STOP_HIT,LOSS,-6239.77,-1.25,60.0,MEDIUM
2021-01-06,BAJAJFINSV,SHORT,13:50,880.65,567,499328.55,890.0,861.9499999999999,2.0,"BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-TOP,FIRST-CANDLE,MACD,ORB-30,PDH-PDL,RSI-EXT,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",13,13.0,ORB-30,ORB-30: breakdown below 880.65,15:15,879.0,TIME_EXIT,WIN,208.09,0.04,60.0,MEDIUM
2021-01-07,M&M,LONG,09:15,741.6625,674,499880.53,737.33125,758.9875000000001,4.0,"CAMARILLA,DAILY-BIAS,EMA-CROSS,FIRST-CANDLE,GAP-CONT,INTRADAY-STRUCT,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VPOC",14,14.0,CAMARILLA,CAMARILLA: breakout above H4=741.66,15:15,744.7,TIME_EXIT,WIN,1316.91,0.26,60.0,MEDIUM
2021-01-07,LUPIN,SHORT,13:05,1016.6,491,499150.6,1023.44175,991.0,3.74,"BOLLINGER,CAMARILLA,FAILED-BO,FIRST-CANDLE,INTRADAY-STRUCT,MACD,REL-STR,STOCHASTIC,SUPERTREND,VPOC,VWAP-REV,VWAP-STDDEV",12,12.0,FAILED-BO,"Failed BO: bull trap above 1016.95, reversed on vol 1.6×",13:25,1023.44175,STOP_HIT,LOSS,-4088.97,-0.82,60.0,MEDIUM
